State Name,county Name,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,San Diego,4/29/2015,100,Moderate,Ozone,06-073-1016,13
California,San Diego,4/30/2015,97,Moderate,Ozone,06-073-1201,14
California,San Diego,5/1/2015,76,Moderate,PM2.5,06-073-1019,13
California,San Diego,5/2/2015,67,Moderate,Ozone,06-073-1006,13
California,San Diego,5/3/2015,61,Moderate,PM2.5,06-073-1014,13
California,San Diego,5/4/2015,55,Moderate,PM2.5,06-073-1008,12
California,San Diego,5/5/2015,51,Moderate,Ozone,06-073-1006,12
California,San Diego,5/6/2015,51,Moderate,Ozone,06-073-1006,13
California,San Diego,5/7/2015,52,Moderate,PM2.5,06-073-1008,12
California,San Diego,5/8/2015,52,Moderate,PM2.5,06-073-1019,13
California,San Diego,5/9/2015,55,Moderate,PM2.5,06-073-1019,13
California,San Diego,5/10/2015,71,Moderate,Ozone,06-073-1006,13
California,San Diego,5/11/2015,87,Moderate,Ozone,06-073-1006,13
California,San Diego,5/12/2015,65,Moderate,PM2.5,06-073-1014,14
California,San Diego,5/13/2015,58,Moderate,PM2.5,06-073-1014,13
California,San Diego,5/14/2015,47,Good,Ozone,06-073-1006,13
California,San Diego,5/15/2015,54,Moderate,Ozone,06-073-1014,13
California,San Diego,5/16/2015,50,Good,PM2.5,06-073-1019,13
California,San Diego,5/17/2015,58,Moderate,Ozone,06-073-1006,13
California,San Diego,5/18/2015,58,Moderate,Ozone,06-073-1006,14
California,San Diego,5/19/2015,51,Moderate,Ozone,06-073-1006,13
California,San Diego,5/20/2015,49,Good,Ozone,06-073-1006,13
California,San Diego,5/21/2015,44,Good,Ozone,06-073-1006,13
California,San Diego,5/22/2015,42,Good,Ozone,06-073-1014,13
California,San Diego,5/23/2015,44,Good,Ozone,06-073-1001,13
California,San Diego,5/24/2015,53,Moderate,PM2.5,06-073-1019,14
California,San Diego,5/25/2015,46,Good,PM2.5,06-073-1014,13
California,San Diego,5/26/2015,44,Good,Ozone,06-073-1006,13
California,San Diego,5/27/2015,47,Good,Ozone,06-073-1006,13
California,San Diego,5/28/2015,67,Moderate,Ozone,06-073-1006,12
California,San Diego,5/29/2015,90,Moderate,Ozone,06-073-1006,13
California,San Diego,5/30/2015,105,Unhealthy for Sensitive Groups,Ozone,06-073-1006,14
California,San Diego,5/31/2015,105,Unhealthy for Sensitive Groups,Ozone,06-073-1006,13
California,San Diego,6/1/2015,61,Moderate,Ozone,06-073-1006,13
California,San Diego,6/2/2015,53,Moderate,PM2.5,06-073-1014,13
California,San Diego,6/3/2015,52,Moderate,PM2.5,06-073-1014,13
California,San Diego,6/4/2015,52,Moderate,PM2.5,06-073-1014,13
California,San Diego,6/5/2015,52,Moderate,PM2.5,06-073-1006,14
California,San Diego,6/6/2015,64,Moderate,Ozone,06-073-1006,13
